user,history_item_id,history_rating,item_id,rating
3355,"[3944, 3942, 3940, 3941, 3943]","[1, 1, 1, 1, 0]",3945,1
199175,"[139076, 35090, 139077, 3881, 139078]","[0, 1, 0, 0, 1]",139079,0
157787,"[541, 168201, 18506, 7895, 34518, 5613, 44632, 168185, 151558, 67578]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",68189,0
58325,"[110097, 20064, 105565, 482, 6075, 110096, 4123, 15697, 3233, 22224]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",52609,0
52329,"[7337, 1435, 1106]","[1, 1, 1]",4533,1
156438,"[65839, 1860, 4824, 21385, 4533, 51591, 27052, 31940, 4269, 2536]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1387,0
14806,"[27177, 27176, 16406]","[0, 1, 1]",27175,1
3379,"[4058, 3716, 4059]","[0, 0, 0]",4060,1
167715,"[185306, 7527, 6431, 12464, 6430, 46389, 4036, 5930, 27431]","[1, 0, 0, 1, 0, 0, 0, 1, 0]",44847,0
135296,"[183722, 183721, 24016, 8969, 30548, 138647]","[1, 0, 0, 1, 1, 1]",25587,1
2630,"[3282, 3283, 3289, 3287, 3285, 3284, 3288, 3290, 3281, 1776]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",3280,1
256303,"[197009, 1263, 14606, 408]","[1, 0, 0, 1]",69956,0
6968,"[7894, 6648, 7893]","[0, 0, 0]",7892,0
145826,"[14148, 750, 6859, 19991]","[0, 0, 1, 1]",21367,1
208663,"[20520, 926, 1553, 79484, 15465]","[0, 0, 0, 0, 0]",41400,1
22894,"[40006, 4878, 4288]","[0, 0, 0]",40005,1
272120,"[98741, 79353, 154091, 8905, 98738, 98757, 9852, 65620, 4866, 7970]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",47213,0
228764,"[5887, 77020, 3893, 24005, 30662, 209866, 168198, 209856, 47545, 68071]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22006,0
96936,"[44033, 68937, 25795, 2957, 30622, 13788, 8148, 2766, 86433, 149296]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",250568,1
3363,"[17101, 17240, 17532, 17342, 17525, 17440, 17323, 17199, 17441, 17083]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17446,0
227186,"[13876, 14905, 5265]","[1, 1, 0]",5050,1
80514,"[207002, 207004, 207006, 88687]","[1, 0, 0, 0]",207005,0
168383,"[58055, 6295, 3243, 43708]","[1, 1, 1, 0]",51,0
47822,"[92763, 4717, 19346, 12127]","[0, 1, 0, 0]",32612,0
104097,"[132706, 647, 4044]","[0, 0, 0]",83213,0
161346,"[79203, 10571, 5955, 5887]","[1, 1, 0, 0]",26138,0
48261,"[39694, 5854, 93389, 38043, 7700, 32033, 93379, 93380, 8456, 93374]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6175,0
245568,"[47, 49936, 559, 11704, 10660, 26995, 11053, 9134, 39761, 225]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",5983,1
31810,"[61092, 61093, 61094]","[1, 1, 1]",61095,0
159390,"[173661, 67652, 173631, 173700, 7783, 173680, 145371, 173744, 173671, 173633]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",145368,1
138073,"[221617, 211080, 11238, 221625, 147292, 121356, 221192, 221657, 221507, 221600]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",69952,0
191173,"[122595, 5330, 1485]","[0, 1, 0]",115962,1
76599,"[198848, 12638, 15455]","[0, 1, 1]",198853,0
155173,"[89634, 38152, 96445, 22401, 79197, 89802, 9133, 53242, 6478, 1484]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40623,1
7454,"[8564, 8567, 8566, 11885, 85240, 8568]","[1, 0, 1, 0, 1, 0]",8565,1
206835,"[149638, 50376, 15279, 3363, 27722]","[1, 1, 1, 1, 1]",149636,1
145687,"[14329, 16803, 14333, 10324]","[1, 1, 1, 1]",14331,1
187397,"[5363, 69719, 198991, 1127, 1961, 5937, 25744, 22855, 26150, 100797]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",198999,1
191974,"[43504, 115270, 19015]","[0, 0, 0]",38380,0
38335,"[59813, 1818, 2602, 4269]","[0, 1, 1, 0]",12598,0
155618,"[26394, 1853, 205]","[0, 1, 0]",42884,0
91023,"[3785, 168705, 87613, 44908, 168712, 7492, 16289, 6867, 153155, 168709]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",48921,1
211303,"[10386, 1096, 207779, 90, 3611, 9172, 75500, 25046, 7675, 31601]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",207777,1
165609,"[29733, 252372, 19756, 7168, 123367, 54598, 97974, 252373, 252371, 149820]","[1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",20750,1
160401,"[11310, 22306, 227817, 65137, 1022, 1051, 227788, 12311, 2851, 5050]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",44550,0
31714,"[12331, 6196, 32994, 10710, 2242, 8462, 6945, 4004]","[1, 1, 0, 1, 1, 1, 0, 1]",27483,0
255550,"[8563, 198439, 3398, 2525, 159324, 31213, 2991, 239488, 199250, 133555]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",6360,1
180733,"[3459, 2527, 2246, 2885, 4502, 608, 2526]","[0, 0, 0, 0, 1, 1, 1]",2143,0
217152,"[214486, 17315, 2529]","[1, 0, 1]",193312,1
95509,"[54566, 2064, 21367, 25548, 14748, 15411, 6262, 2544, 10395, 112736]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",20860,0
120563,"[60304, 38968, 26]","[0, 1, 1]",32775,0
65906,"[133121, 16184, 27448, 41559]","[0, 1, 1, 0]",133119,1
176034,"[154239, 11469, 10790]","[0, 0, 0]",25959,1
261412,"[98226, 98219, 98217, 98223, 98224, 98216, 92313, 98220, 98229, 98227]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",98222,1
274645,"[68093, 68095, 10421, 19076, 29441, 68098]","[1, 1, 0, 0, 1, 0]",28176,0
208309,"[238924, 771, 20024]","[0, 1, 0]",55829,1
140291,"[67647, 193674, 141901, 193668, 193679, 63701, 193670, 191918, 193672, 5469]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",67557,1
6893,"[7835, 6836, 2241]","[0, 1, 1]",7836,1
81322,"[208526, 28639, 10396, 109931, 22294, 122400, 33014, 9523, 54734, 127877]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",208528,0
245362,"[5223, 195950, 71172, 177205, 195945, 3487, 195957, 2987, 195960, 1071]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",4533,1
225453,"[52402, 76783, 241027, 19910, 28696, 208015, 241020, 241028, 201330, 96888]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",114119,1
208815,"[20814, 113207, 29112, 152768, 30651, 6932, 5506, 36428, 152794, 121845]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",26,0
189076,"[54316, 758, 5310, 1105]","[1, 0, 0, 0]",27249,1
229140,"[1673, 210839, 1175, 55508, 9467, 2635, 1116, 71868, 103986, 4402]","[1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",1225,0
7574,"[8670, 8672, 8669]","[1, 0, 0]",8671,1
193824,"[79255, 46579, 35123, 77589, 40348, 125083, 2612, 36586, 125079]","[0, 1, 0, 0, 1, 1, 0, 0, 0]",125081,0
175805,"[123425, 34329, 1429, 67, 10480, 22464]","[0, 1, 1, 1, 1, 1]",8624,1
14116,"[14745, 14748, 14746, 2256]","[1, 1, 1, 0]",14747,1
38081,"[50358, 7993, 7990, 1986, 2043, 3785]","[1, 0, 1, 1, 1, 0]",881,0
209385,"[33500, 44283, 3000, 167244, 34620, 205168, 205149, 205172, 37906, 52530]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",4126,1
114581,"[26062, 196105, 12127, 215218, 49201, 89442, 1680, 215227, 176768, 215219]","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",49696,1
140460,"[193810, 193812, 176880]","[0, 0, 1]",193816,1
14667,"[5937, 784, 7354, 713, 775, 7483, 8043, 1452, 15360, 788]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",15361,1
180571,"[134946, 162033, 162006, 25447, 53005, 115108, 78217, 25428, 162002, 162027]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",52173,1
175175,"[6420, 1352, 6346, 1496, 3050]","[0, 0, 1, 0, 1]",26893,0
108563,"[39191, 756, 1018, 13068, 56209, 11434, 11991, 9691, 1526, 3631]","[0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",178695,1
168132,"[4723, 131128, 13942, 1543, 26612, 6782, 4304, 1078, 12325, 4394]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4251,0
270375,"[95659, 14132, 80446, 18415]","[1, 0, 0, 0]",42556,0
37034,"[72537, 51994, 5253, 65702, 72531, 72539]","[0, 0, 1, 0, 0, 0]",5354,0
69202,"[150750, 150743, 150746]","[1, 0, 1]",150742,0
235842,"[137360, 267313, 19057, 267362, 267359, 84549, 267447, 9294, 63276, 251548]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16794,0
176037,"[489, 175288, 202530, 27870, 1571, 952, 45048, 23593, 65851, 202531]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",202536,1
217386,"[263079, 3591, 248, 38923, 15579, 263078, 26, 10617, 14340, 189800]","[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",263080,1
137587,"[1094, 221118, 85624, 154463, 99574, 63077, 3783, 5869, 112736, 28834]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",63307,1
111390,"[44726, 10149, 4017, 20403, 15680, 42054, 4726, 1985, 12473, 40004]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",102235,1
240687,"[183097, 2793, 7593, 54948, 73064, 46196, 59482, 87508, 25728, 125468]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",222858,0
99395,"[191500, 81026, 53032, 7268, 191502, 191506]","[1, 1, 1, 0, 0, 1]",191501,0
227183,"[263485, 199478, 8797]","[1, 1, 0]",56553,0
97856,"[130420, 130418, 130419, 2549]","[0, 0, 1, 1]",130417,0
97754,"[51229, 4296, 4976, 113882, 4318, 130384, 74317, 98617, 114925, 30069]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",5028,0
72028,"[28967, 152272, 152302, 152287, 152255, 32405, 5486, 41347, 129287, 152293]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",138864,0
60914,"[62335, 23275, 363]","[1, 0, 0]",41293,1
250506,"[3427, 202745, 7005, 15412, 58885, 7004, 2290, 233398, 148200, 23631]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",3577,1
51442,"[98606, 98595, 98592, 6867, 98589, 98598, 98572, 98602, 98588, 98578]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",45445,0
13874,"[14569, 14577, 14576, 14571, 14570, 14573, 14572, 14578, 14575, 14574]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",14567,0
237773,"[11102, 6379, 6380, 11103]","[0, 0, 0, 0]",8290,0
95738,"[136824, 87527, 65702, 7908, 12619, 43652]","[1, 1, 0, 0, 1, 1]",8752,1
74113,"[189953, 138648, 58053, 189959, 189948, 189955, 163920]","[1, 0, 1, 0, 1, 1, 1]",54170,0
150973,"[77399, 239674, 33248, 971, 239673, 104405, 8929, 239669, 239672, 239671]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",38827,0
55119,"[6762, 3785, 1105]","[1, 1, 1]",5005,1
140133,"[30700, 64057, 20838, 13182, 21657]","[0, 1, 1, 1, 1]",31713,1
11435,"[12243, 7838, 12240, 12244, 2644, 12242, 8780, 1520]","[1, 1, 0, 0, 0, 0, 1, 1]",12241,0
61257,"[12014, 23266, 1281, 4839, 40777, 4297, 3884, 113926, 113924, 8237]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]",113925,1
49646,"[52777, 2342, 1585, 4205]","[0, 0, 0, 0]",3020,1
208641,"[258652, 51636, 35550, 14539, 137185, 609, 8680, 20125, 63151, 2964]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",456,0
67375,"[37149, 1321, 78716, 33306, 20774, 33307, 63641, 6368]","[0, 0, 0, 0, 1, 0, 0, 1]",63640,0
41837,"[83391, 11337, 53112, 83389, 246773, 83384, 83383, 20765, 246774, 41044]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",83392,0
272516,"[100823, 608, 29976, 32788, 31923]","[1, 1, 0, 1, 1]",100826,1
272441,"[63065, 21552, 20887]","[0, 1, 0]",10730,1
171011,"[145470, 9270, 3459, 5506, 9026, 5431]","[1, 1, 1, 1, 1, 1]",6330,1
141888,"[163301, 6932, 3459, 17437, 5759, 12470, 3109, 2290, 15346]","[0, 1, 1, 0, 1, 0, 1, 1, 1]",21368,1
93379,"[3290, 52, 5545]","[0, 0, 0]",1012,0
62919,"[11069, 15249, 9522, 112568, 55973, 101490, 36205]","[0, 1, 0, 0, 0, 0, 0]",6619,1
100010,"[83909, 36472, 50864, 41510, 79858, 58999, 5607, 6138, 41838, 45763]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",93826,0
269945,"[13438, 22051, 6046, 4062, 71490]","[1, 1, 1, 1, 1]",63339,1
184890,"[4332, 42592, 6292, 8453, 80550, 6804, 20873, 1105, 41114, 485]","[1, 0, 1, 1, 1, 1, 1, 0, 0, 1]",11453,0
12917,"[13662, 13663, 13670, 13681, 13684, 13683, 13672, 13658, 13674, 13676]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",13679,1
223347,"[45462, 2430, 19859, 4062, 962]","[0, 0, 1, 1, 0]",202328,0
183015,"[74523, 7603, 2232, 5033, 1052, 45967, 71769, 9333, 8681, 157773]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",145496,0
114217,"[17364, 34050, 40834, 58896, 214001, 11790, 953, 1429, 67, 42885]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",12816,0
95193,"[124392, 21314, 124320, 124452, 53599, 75781, 124404, 111231, 2519, 25697]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",124340,0
128946,"[4206, 1571, 15570]","[1, 1, 1]",780,1
144516,"[7152, 48915, 13050, 1435, 12885, 1945, 3022, 3787, 233102, 4533]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",4824,0
109012,"[137252, 60384, 137254, 48732, 52122, 68930]","[1, 1, 0, 1, 1, 1]",36981,1
3350,"[2764, 3939, 707, 67, 2128]","[0, 1, 1, 1, 1]",3938,1
250876,"[233941, 5309, 193949, 4578]","[0, 0, 0, 1]",233942,1
236666,"[267825, 28548, 17910]","[1, 0, 0]",240220,0
40664,"[7541, 80917, 3837, 28202, 78714, 10268, 63372, 80916, 75412, 26512]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",17819,1
135228,"[12515, 84430, 181028, 178726, 100154, 180978, 96336, 118048, 5377, 181023]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1]",60339,0
139233,"[66096, 4801, 14461, 5593, 12128]","[0, 0, 0, 0, 0]",142929,0
29471,"[55729, 8931, 578, 7130]","[1, 0, 1, 0]",27304,1
82192,"[11449, 55944, 26, 170797, 72663, 1155, 2127, 7364, 170824, 8688]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",132777,0
148098,"[203101, 4325, 17140, 408]","[0, 0, 0, 0]",145400,0
144785,"[6829, 116392, 200997, 14905, 15724, 38059, 200995, 145310, 200993, 200999]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",201002,0
1155,"[1542, 1540, 1546, 1538, 1539, 1537, 1541, 1533, 282, 1534]","[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",1547,1
59829,"[111284, 1175, 6885]","[1, 1, 1]",6740,0
408,"[459, 464, 461, 450, 460, 453, 456, 449, 465, 458]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",467,0
61899,"[8690, 4244, 669, 37629, 49392, 32962, 2849]","[1, 1, 0, 0, 1, 0, 0]",522,0
229148,"[263911, 38239, 7104, 95671, 11516, 263910, 8838, 22365, 80291]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",170577,0
177088,"[117215, 2445, 26]","[1, 1, 1]",10427,0
232373,"[254253, 96714, 23251]","[0, 1, 1]",158900,1
246915,"[3777, 707, 3423, 1387, 3625]","[0, 1, 0, 0, 0]",30639,1
51631,"[98995, 98996, 2884]","[1, 1, 1]",97044,1
154910,"[161183, 20540, 7928]","[1, 1, 1]",62338,0
80011,"[73294, 206472, 13769, 8301, 7292, 52904]","[0, 0, 0, 0, 1, 0]",1351,1
56661,"[14667, 40747, 3490, 5579, 67, 706, 9330, 10300, 14451, 12061]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",525,0
146466,"[164, 27886, 48962, 235856, 235859, 99441, 33658]","[1, 1, 1, 0, 1, 0, 0]",26,0
242763,"[54316, 2912, 13208, 55492, 1559, 61785, 5579, 1406, 26070, 61786]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",129458,0
90467,"[29214, 39330, 1351, 7168, 1129, 1494, 225, 28, 34320, 6804]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1132,0
173203,"[63847, 4232, 24404, 2554]","[0, 1, 0, 1]",13083,1
7283,"[541, 4236, 7801, 6665, 8298, 8308, 1553, 8300, 20147, 5248]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 1]",8291,0
271808,"[98642, 39880, 23510]","[1, 0, 1]",62934,0
230757,"[46295, 211808, 162514, 211815, 211810, 20749, 211807, 20280, 211809, 7018]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]",44390,0
251714,"[236202, 8668, 236199, 235029, 15041, 142901, 41250, 12870]","[0, 0, 0, 0, 0, 1, 0, 0]",236206,0
202381,"[68284, 30677, 141750, 77028, 1727, 99840, 141745, 141746, 99643, 141751]","[1, 0, 0, 1, 1, 1, 1, 1, 0, 1]",141744,0
132256,"[209137, 1770, 223589, 208989, 3037, 223591, 7265, 15200]","[0, 0, 0, 1, 0, 0, 1, 0]",223586,0
263537,"[1057, 85405, 4960, 67013, 43556, 25692, 6706, 59760, 85407, 1861]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",36903,0
232709,"[89523, 18808, 522]","[0, 0, 1]",182966,1
166291,"[170317, 41102, 11306, 15590, 1615, 10484]","[1, 1, 1, 1, 0, 1]",5330,1
255025,"[220022, 12532, 12776]","[0, 0, 0]",15213,0
125058,"[162382, 5450, 21661, 2360, 15247]","[0, 0, 1, 0, 1]",162385,0
106893,"[15042, 41031, 14463, 28386, 51226, 3272, 1905, 77298, 131322, 1131]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",131302,1
148651,"[59933, 4269, 7428]","[0, 1, 0]",10969,1
88062,"[161316, 39819, 134684, 130541, 161321]","[1, 1, 0, 0, 0]",161317,0
171940,"[71503, 68954, 29203, 707, 109201]","[1, 1, 1, 0, 0]",255156,1
108130,"[10439, 177917, 2864, 800, 31528, 2361, 11306, 117085, 40923, 20128]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",238,0
154529,"[145748, 39329, 160797, 13229, 27395, 9934, 25843, 160791, 18984, 6262]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1867,0
208508,"[99654, 7279, 115457, 4180, 177217]","[0, 0, 0, 0, 0]",258567,0
31261,"[29097, 9272, 59484, 21398, 46329, 7708, 4546, 25057]","[0, 0, 0, 1, 0, 0, 0, 0]",58550,0
117142,"[50961, 4560, 4173]","[1, 1, 0]",30774,0
59209,"[5486, 10946, 1836, 1945, 57513, 706, 2445, 10439, 62579, 1012]","[1, 1, 1, 0, 0, 0, 0, 0, 1, 0]",110956,1
210551,"[97855, 25895, 15234, 1920]","[1, 1, 0, 1]",76997,0
175559,"[680, 182165, 19502, 256913, 256901, 34585, 256908, 77011, 54335, 242449]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4094,0
237363,"[159037, 5175, 1094]","[1, 1, 1]",2476,1
191093,"[70492, 34912, 18413, 29719, 114647, 34463, 24117, 14924, 15092, 8935]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",114648,0
142735,"[123697, 9613, 21546, 110052, 98967, 63254, 69688, 17954, 24926, 25340]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",87770,1
144455,"[47769, 84573, 200605, 143009, 16678, 7566, 16657, 92731, 200584, 200620]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",20723,0
204040,"[41804, 143054, 114617, 126798, 115977, 23058, 143053, 20667, 143052, 2160]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",34942,1
136747,"[585, 87298, 187755, 26, 8957, 1460, 2920, 497, 3283, 81276]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",187752,1
218936,"[8359, 2529, 763, 27208, 2078, 1362, 1598, 13879, 7700, 5865]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",68280,1
97025,"[116467, 4159, 50540, 8562, 13247, 19942, 228739, 7079, 82609, 138081]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",42186,0
22851,"[39956, 39957, 24245, 3347, 39959, 39955]","[1, 1, 0, 0, 1, 1]",39958,1
65579,"[132688, 52831, 79888]","[0, 1, 0]",18376,1
175190,"[8406, 6423, 2846, 9536]","[0, 0, 0, 1]",3410,0
130502,"[9980, 1818, 11254, 483, 3051]","[1, 1, 1, 1, 1]",13167,1
109727,"[77188, 949, 2241, 10927, 456, 18472, 7082, 3827, 2446]","[1, 1, 0, 0, 1, 0, 0, 0, 0]",2908,0
50564,"[97393, 962, 2060, 43165, 3201]","[1, 1, 0, 0, 0]",39463,0
